culture,iso_country,region,note
frankish,FR,western_europe,early medieval Franks
french,FR,western_europe,
occitan,FR,western_europe,
norman,FR,western_europe,"spread to England, S Italy"
breton,FR,western_europe,
flemish,BE,western_europe,
dutch,NL,western_europe,
frisian,NL,western_europe,
german,DE,central_europe,
franconian,DE,central_europe,
saxon,DE,central_europe,
bavarian,DE,central_europe,
swabian,DE,central_europe,
thuringian,DE,central_europe,
low_saxon,DE,central_europe,
low_frankish,NL,central_europe,
alemannic,CH,central_europe,
austrian,AT,central_europe,
swiss,CH,central_europe,
castilian,ES,iberia,
catalan,ES,iberia,
aragonese,ES,iberia,
asturleonese,ES,iberia,
galician,ES,iberia,
portuguese,PT,iberia,
basque,ES,iberia,
andalusian,ES,iberia,"Muslim Iberia, descends to Arabic"
visigothic,ES,iberia,post-Roman
suebi,PT,iberia,post-Roman kingdom in Gallaecia
norse,NO,scandinavia,"pre-Christian Norse, spread broadly"
norwegian,NO,scandinavia,
swedish,SE,scandinavia,
danish,DK,scandinavia,
icelandic,IS,scandinavia,
english,GB,british_isles,
anglo_saxon,GB,british_isles,
welsh,GB,british_isles,
cumbrian,GB,british_isles,
pictish,GB,british_isles,
scottish,GB,british_isles,
highlander,GB,british_isles,
irish,IE,british_isles,
cornish,GB,british_isles,
italian,IT,southern_europe,
lombard,IT,southern_europe,
sardinian,IT,southern_europe,
cisalpine,IT,southern_europe,
sicilian,IT,southern_europe,
italian_norman,IT,southern_europe,
roman,IT,southern_europe,
dalmatian,HR,balkans,extinct Romance language
greek,GR,balkans,
byzantine,GR,balkans,Byzantine = medieval Greek state
bulgarian,BG,balkans,
serbian,RS,balkans,
croatian,HR,balkans,
bosnian,BA,balkans,
vlach,RO,balkans,Romanian ancestor
romanian,RO,balkans,
albanian,AL,balkans,
arberian,AL,balkans,medieval Albanian
polish,PL,central_europe,
czech,CZ,central_europe,
slovak,SK,central_europe,
pomeranian,PL,central_europe,
polabian,DE,central_europe,extinct West Slavic
hungarian,HU,central_europe,
magyar,HU,central_europe,
russian,RU,eastern_europe,
muscovite,RU,eastern_europe,
ruthenian,UA,eastern_europe,
severian,UA,eastern_europe,
ilmenian,RU,eastern_europe,Slavs of Novgorod
ukrainian,UA,eastern_europe,
belarusian,BY,eastern_europe,
lithuanian,LT,northeast_europe,
latvian,LV,northeast_europe,
estonian,EE,northeast_europe,
prussian,PL,northeast_europe,"Old Prussian, extinct"
finnish,FI,northeast_europe,
karelian,FI,northeast_europe,
livonian,LV,northeast_europe,
sami,NO,northeast_europe,
permian,RU,northeast_europe,
komi,RU,northeast_europe,
armenian,AM,caucasus,
georgian,GE,caucasus,
alan,RU,caucasus,Ossetian ancestor
circassian,RU,caucasus,
zikhi,RU,caucasus,Adyghe ancestor
svan,GE,caucasus,
laz,GE,caucasus,
vainakh,RU,caucasus,Chechen/Ingush
avar,RU,caucasus,Dagestani Avar
lak,RU,caucasus,
lezgin,RU,caucasus,
arabic,SA,middle_east,broad pan-Arab
levantine,SY,middle_east,
egyptian,EG,middle_east,
bedouin,SA,middle_east,
yemeni,YE,middle_east,
maghrebi,MA,north_africa,
hijazi,SA,middle_east,
najdi,SA,middle_east,
iraqi,IQ,middle_east,
persian,IR,middle_east,
khorasani,IR,middle_east,
daylamite,IR,middle_east,
kurdish,IQ,middle_east,Kurds across IQ/IR/TR/SY
baloch,PK,middle_east,
sogdian,UZ,central_asia,
khwarezmian,UZ,central_asia,
afghan,AF,central_asia,
pashtun,AF,central_asia,
tajik,TJ,central_asia,
turkish,TR,middle_east,
oghuz,TM,central_asia,ancestor of Turks/Turkmens
turkmen,TM,central_asia,
kipchak,KZ,central_asia,
cuman,UA,eastern_europe,
pecheneg,UA,eastern_europe,
karluk,UZ,central_asia,
uyghur,CN,central_asia,
kyrgyz,KG,central_asia,
kazakh,KZ,central_asia,
tatar,RU,eastern_europe,
bashkir,RU,eastern_europe,
chuvash,RU,eastern_europe,
bolghar,RU,eastern_europe,
khazar,RU,eastern_europe,
azeri,AZ,caucasus,
mongol,MN,central_asia,
khitan,CN,east_asia,
jurchen,CN,east_asia,
xianbei,CN,east_asia,
tangut,CN,east_asia,
tibetan,CN,tibet,
bodpa,CN,tibet,
zhangzhung,CN,tibet,
nepali,NP,south_asia,
bhotiya,NP,south_asia,
kannada,IN,south_asia,
tamil,IN,south_asia,
telugu,IN,south_asia,
malayalam,IN,south_asia,
sinhala,LK,south_asia,
hindustani,IN,south_asia,
rajput,IN,south_asia,
gujarati,IN,south_asia,
marathi,IN,south_asia,
bengali,BD,south_asia,
oriya,IN,south_asia,
assamese,IN,south_asia,
kashmiri,IN,south_asia,
punjabi,IN,south_asia,
sindhi,PK,south_asia,
vatadagi,LK,south_asia,
han,CN,east_asia,
zhao,CN,east_asia,
bai,CN,east_asia,
yi,CN,east_asia,
vietnamese,VN,southeast_asia,
khmer,KH,southeast_asia,
burmese,MM,southeast_asia,
mon,MM,southeast_asia,
thai,TH,southeast_asia,
malay,MY,southeast_asia,
javanese,ID,southeast_asia,
sundanese,ID,southeast_asia,
filipino,PH,southeast_asia,
korean,KR,east_asia,
japanese,JP,east_asia,
nubian,SD,northeast_africa,
ethiopian,ET,east_africa,
amhara,ET,east_africa,
tigrayan,ET,east_africa,
oromo,ET,east_africa,
somali,SO,horn_of_africa,
afar,ET,horn_of_africa,
beja,SD,northeast_africa,
swahili,KE,east_africa,
malagasy,MG,east_africa,
luba_lunda,CD,central_africa,
kongolese,CD,central_africa,
bantu,CD,central_africa,
zulu,ZA,southern_africa,
songhai,ML,west_africa,
mande,ML,west_africa,
manden,ML,west_africa,
mandinka,GM,west_africa,
soninke,ML,west_africa,
hausa,NG,west_africa,
kanuri,NG,west_africa,
fulani,NG,west_africa,
akan,GH,west_africa,
yoruba,NG,west_africa,
igbo,NG,west_africa,
bambara,ML,west_africa,
wolof,SN,west_africa,
serer,SN,west_africa,
tukulor,SN,west_africa,
songhay,ML,west_africa,
masmuda,MA,north_africa,
sanhaja,MA,north_africa,
zenati,DZ,north_africa,
zenata,DZ,north_africa,
guanche,ES,north_africa,Canary Islands
ashkenazi,DE,central_europe,Jewish diaspora; primary in HRE
sephardi,ES,iberia,Jewish Iberia
mizrahi,IQ,middle_east,Jewish Mesopotamia
karaite,UA,eastern_europe,
samaritan,IL,middle_east,
yemeni_jewish,YE,middle_east,
butr,DZ,north_africa,Berber Butr branch
baranis,MA,north_africa,Berber Baranis branch
malinke,ML,west_africa,
kru,LR,west_africa,
mel,SL,west_africa,
bobo,BF,west_africa,
bozo,ML,west_africa,
nupe,NG,west_africa,
gur,BF,west_africa,
ewe,GH,west_africa,
sao,TD,west_africa,ancient Sao civilization
guanches,ES,north_africa,Canary Islands
welayta,ET,east_africa,
zaghawa,TD,northeast_africa,
kirghiz,KG,central_asia,
buryat,RU,central_asia,
naiman,MN,central_asia,
kimek,KZ,central_asia,
oirat,MN,central_asia,
uriankhai,MN,central_asia,
tuyuhun,CN,central_asia,
yughur,CN,central_asia,
saka,TJ,central_asia,
tocharian,CN,central_asia,Tarim basin extinct IE
tsangpa,CN,tibet,
sumpa,CN,tibet,
lhomon,BT,tibet,Bhutanese ancestor
kirati,NP,south_asia,eastern Nepal
khanty,RU,northeast_europe,Ob-Ugric
samoyed,RU,northeast_europe,
merya,RU,northeast_europe,extinct Finno-Ugric
mordvin,RU,northeast_europe,
vepsian,RU,northeast_europe,
latgalian,LV,northeast_europe,
pommeranian,PL,central_europe,
slovien,SK,central_europe,Old Slovak / Great Moravian
volhynian,UA,eastern_europe,
old_saxon,DE,central_europe,continental Saxons
gaelic,IE,british_isles,pre-split Goidelic
guan,GH,west_africa,Akan-related
